Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error
850,12'h352,0.7188,1
851,12'h353,0.2188,1
852,12'h354,0.8438,1
853,12'h355,0.3438,1
854,12'h356,0.5625,1
855,12'h357,0.0938,1
856,12'h358,0.9062,1
857,12'h359,0.4062,1
858,12'h35A,0.6562,1
859,12'h35B,0.1562,1
860,12'h35C,0.7812,1
861,12'h35D,0.2812,1
862,12'h35E,0.5000,1
863,12'h35F,0.0312,1
864,12'h360,0.9688,1
865,12'h361,0.4688,1
866,12'h362,0.7188,1
867,12'h363,0.2188,1
868,12'h364,0.8438,1
869,12'h365,0.3438,1
870,12'h366,0.5938,1
871,12'h367,0.0938,1
872,12'h368,0.9062,1
873,12'h369,0.4062,1
874,12'h36A,0.6875,1
875,12'h36B,0.1562,1
876,12'h36C,0.7812,1
877,12'h36D,0.2812,1
878,12'h36E,0.5312,1
879,12'h36F,0.0312,1
880,12'h370,0.9375,1
881,12'h371,0.4375,1
882,12'h372,0.6875,1
883,12'h373,0.1875,1
884,12'h374,0.8125,1
885,12'h375,0.3125,1
886,12'h376,0.5625,1
887,12'h377,0.0625,1
888,12'h378,0.9062,1
889,12'h379,0.4062,1
890,12'h37A,0.6250,1
891,12'h37B,0.1250,1
892,12'h37C,0.7500,1
893,12'h37D,0.2500,1
894,12'h37E,0.5000,1
895,12'h37F,0.0000,0
896,12'h380,1.0000,1
897,12'h381,0.5000,1
898,12'h382,0.7500,1
899,12'h383,0.2500,1
900,12'h384,0.8438,1
901,12'h385,0.3750,1
902,12'h386,0.6250,1
903,12'h387,0.1250,1
904,12'h388,0.9375,1
905,12'h389,0.4062,1
906,12'h38A,0.6875,1
907,12'h38B,0.1875,1
908,12'h38C,0.8125,1
909,12'h38D,0.3125,1
910,12'h38E,0.5625,1
911,12'h38F,0.0625,1
912,12'h390,0.9688,1
913,12'h391,0.4688,1
914,12'h392,0.7188,1
915,12'h393,0.2188,1
916,12'h394,0.8438,1
917,12'h395,0.3438,1
918,12'h396,0.5625,1
919,12'h397,0.0938,1
920,12'h398,0.9062,1
921,12'h399,0.4062,1
922,12'h39A,0.6562,1
923,12'h39B,0.1562,1
924,12'h39C,0.7812,1
925,12'h39D,0.2812,1
926,12'h39E,0.5312,1
927,12'h39F,0.0312,1
928,12'h3A0,1.0000,1
929,12'h3A1,0.4688,1
930,12'h3A2,0.7188,1
931,12'h3A3,0.2188,1
932,12'h3A4,0.8438,1
933,12'h3A5,0.3438,1
934,12'h3A6,0.5938,1
935,12'h3A7,0.0938,1
936,12'h3A8,0.9062,1
937,12'h3A9,0.4062,1
938,12'h3AA,0.6875,1
939,12'h3AB,0.1875,1
940,12'h3AC,0.7812,1
941,12'h3AD,0.3125,1
942,12'h3AE,0.5625,1
943,12'h3AF,0.0312,1
944,12'h3B0,0.9375,1
945,12'h3B1,0.4375,1
946,12'h3B2,0.6875,1
947,12'h3B3,0.1875,1
948,12'h3B4,0.8438,1
949,12'h3B5,0.3125,1
950,12'h3B6,0.5625,1
951,12'h3B7,0.0938,1
952,12'h3B8,0.9062,1
953,12'h3B9,0.4062,1
954,12'h3BA,0.6562,1
955,12'h3BB,0.1250,1
956,12'h3BC,0.7500,1
957,12'h3BD,0.2500,1
958,12'h3BE,0.5000,1
959,12'h3BF,0.0000,0
960,12'h3C0,1.0000,1
961,12'h3C1,0.5000,1
962,12'h3C2,0.7500,1
963,12'h3C3,0.2188,1
964,12'h3C4,0.8438,1
965,12'h3C5,0.3750,1
966,12'h3C6,0.5938,1
967,12'h3C7,0.1250,1
968,12'h3C8,0.9375,1
969,12'h3C9,0.4062,1
970,12'h3CA,0.6875,1
971,12'h3CB,0.1875,1
972,12'h3CC,0.7812,1
973,12'h3CD,0.3125,1
974,12'h3CE,0.5625,1
975,12'h3CF,0.0625,1
976,12'h3D0,0.9375,1
977,12'h3D1,0.4688,1
978,12'h3D2,0.6875,1
979,12'h3D3,0.1875,1
980,12'h3D4,0.8438,1
981,12'h3D5,0.3438,1
982,12'h3D6,0.5625,1
983,12'h3D7,0.0938,1
984,12'h3D8,0.9062,1
985,12'h3D9,0.4062,1
986,12'h3DA,0.6562,1
987,12'h3DB,0.1562,1
988,12'h3DC,0.7812,1
989,12'h3DD,0.2812,1
990,12'h3DE,0.5000,1
991,12'h3DF,0.0000,0
992,12'h3E0,0.9688,1
993,12'h3E1,0.4688,1
994,12'h3E2,0.7188,1
995,12'h3E3,0.2188,1
996,12'h3E4,0.8438,1
997,12'h3E5,0.3438,1
998,12'h3E6,0.5938,1
999,12'h3E7,0.0938,1
1000,12'h3E8,0.9062,1
1001,12'h3E9,0.4062,1
1002,12'h3EA,0.6562,1
1003,12'h3EB,0.1562,1
1004,12'h3EC,0.7812,1
1005,12'h3ED,0.2812,1
1006,12'h3EE,0.5312,1
1007,12'h3EF,0.0312,1
1008,12'h3F0,0.9375,1
1009,12'h3F1,0.4375,1
1010,12'h3F2,0.6875,1
1011,12'h3F3,0.1875,1
1012,12'h3F4,0.8125,1
1013,12'h3F5,0.3125,1
1014,12'h3F6,0.5625,1
1015,12'h3F7,0.0625,1
1016,12'h3F8,0.9062,1
1017,12'h3F9,0.3750,1
1018,12'h3FA,0.6250,1
1019,12'h3FB,0.1250,1
1020,12'h3FC,0.7500,1
1021,12'h3FD,0.2500,1
1022,12'h3FE,0.5000,1
1023,12'h3FF,0.0000,0
1024,12'h400,1.0000,1
1025,12'h401,0.5000,1
1026,12'h402,0.7500,1
1027,12'h403,0.2500,1
1028,12'h404,0.8750,1
1029,12'h405,0.3750,1
1030,12'h406,0.6250,1
1031,12'h407,0.1250,1
1032,12'h408,0.9375,1
1033,12'h409,0.4375,1
1034,12'h40A,0.6875,1
1035,12'h40B,0.1875,1
1036,12'h40C,0.8125,1
1037,12'h40D,0.3125,1
1038,12'h40E,0.5625,1
1039,12'h40F,0.0625,1
1040,12'h410,0.9688,1
1041,12'h411,0.4688,1
1042,12'h412,0.7188,1
1043,12'h413,0.2188,1
1044,12'h414,0.8438,1
1045,12'h415,0.3438,1
1046,12'h416,0.5625,1
1047,12'h417,0.0938,1
1048,12'h418,0.9062,1
1049,12'h419,0.4062,1
1050,12'h41A,0.6562,1
1051,12'h41B,0.1562,1
1052,12'h41C,0.7812,1
1053,12'h41D,0.2812,1
1054,12'h41E,0.5312,1
1055,12'h41F,0.0312,1
1056,12'h420,1.0000,1
1057,12'h421,0.5000,1
1058,12'h422,0.7500,1
1059,12'h423,0.2188,1
1060,12'h424,0.8438,1
1061,12'h425,0.3750,1
1062,12'h426,0.5938,1
1063,12'h427,0.1250,1
1064,12'h428,0.9062,1
1065,12'h429,0.4062,1
1066,12'h42A,0.6875,1
1067,12'h42B,0.1875,1
1068,12'h42C,0.7812,1
1069,12'h42D,0.3125,1
1070,12'h42E,0.5625,1
1071,12'h42F,0.0625,1
1072,12'h430,0.9375,1
1073,12'h431,0.4688,1
1074,12'h432,0.6875,1
1075,12'h433,0.1875,1
1076,12'h434,0.8438,1
1077,12'h435,0.3438,1
1078,12'h436,0.5625,1
1079,12'h437,0.0938,1
1080,12'h438,0.9062,1
1081,12'h439,0.4062,1
1082,12'h43A,0.6562,1
1083,12'h43B,0.1562,1
1084,12'h43C,0.7812,1
1085,12'h43D,0.2812,1
1086,12'h43E,0.5000,1
1087,12'h43F,0.0000,0
1088,12'h440,1.0000,1
1089,12'h441,0.5000,1
1090,12'h442,0.7500,1
1091,12'h443,0.2500,1
1092,12'h444,0.8438,1
1093,12'h445,0.3750,1
1094,12'h446,0.5938,1
1095,12'h447,0.1250,1
1096,12'h448,0.9375,1
1097,12'h449,0.4062,1
1098,12'h44A,0.6875,1
1099,12'h44B,0.1875,1
1100,12'h44C,0.8125,1
1101,12'h44D,0.3125,1
1102,12'h44E,0.5625,1
1103,12'h44F,0.0625,1
1104,12'h450,0.9688,1
1105,12'h451,0.4688,1
1106,12'h452,0.7188,1
1107,12'h453,0.2188,1
1108,12'h454,0.8438,1
1109,12'h455,0.3438,1
1110,12'h456,0.5625,1
1111,12'h457,0.0938,1
1112,12'h458,0.9062,1
1113,12'h459,0.4062,1
1114,12'h45A,0.6562,1
1115,12'h45B,0.1562,1
1116,12'h45C,0.7812,1
1117,12'h45D,0.2812,1
1118,12'h45E,0.5000,1
1119,12'h45F,0.0312,1
1120,12'h460,1.0000,1
1121,12'h461,0.4688,1
1122,12'h462,0.7188,1
1123,12'h463,0.2188,1
1124,12'h464,0.8438,1
1125,12'h465,0.3438,1
1126,12'h466,0.5938,1
1127,12'h467,0.0938,1
1128,12'h468,0.9062,1
1129,12'h469,0.4062,1
1130,12'h46A,0.6875,1
1131,12'h46B,0.1562,1
1132,12'h46C,0.7812,1
1133,12'h46D,0.3125,1
1134,12'h46E,0.5312,1
1135,12'h46F,0.0312,1
1136,12'h470,0.9375,1
1137,12'h471,0.4375,1
1138,12'h472,0.6875,1
1139,12'h473,0.1875,1
1140,12'h474,0.8438,1
1141,12'h475,0.3125,1
1142,12'h476,0.5625,1
1143,12'h477,0.0938,1
1144,12'h478,0.9062,1
1145,12'h479,0.4062,1
1146,12'h47A,0.6250,1
1147,12'h47B,0.1250,1
1148,12'h47C,0.7500,1
1149,12'h47D,0.2500,1
1150,12'h47E,0.5000,1
1151,12'h47F,0.0000,0
1152,12'h480,1.0000,1
1153,12'h481,0.5000,1
1154,12'h482,0.7500,1
1155,12'h483,0.2500,1
1156,12'h484,0.8750,1
1157,12'h485,0.3750,1
1158,12'h486,0.6250,1
1159,12'h487,0.1250,1
1160,12'h488,0.9375,1
1161,12'h489,0.4375,1
1162,12'h48A,0.6875,1
1163,12'h48B,0.1875,1
1164,12'h48C,0.8125,1
1165,12'h48D,0.3125,1
1166,12'h48E,0.5625,1
1167,12'h48F,0.0625,1
1168,12'h490,0.9688,1
1169,12'h491,0.4688,1
1170,12'h492,0.7188,1
1171,12'h493,0.2188,1
1172,12'h494,0.8438,1
1173,12'h495,0.3438,1
1174,12'h496,0.5625,1
1175,12'h497,0.0938,1
1176,12'h498,0.9062,1
1177,12'h499,0.4062,1
1178,12'h49A,0.6562,1
1179,12'h49B,0.1562,1
1180,12'h49C,0.7812,1
1181,12'h49D,0.2812,1
1182,12'h49E,0.5312,1
1183,12'h49F,0.0312,1
1184,12'h4A0,1.0000,1
1185,12'h4A1,0.4688,1
1186,12'h4A2,0.7500,1
1187,12'h4A3,0.2188,1
1188,12'h4A4,0.8438,1
1189,12'h4A5,0.3438,1
1190,12'h4A6,0.5938,1
1191,12'h4A7,0.0938,1
1192,12'h4A8,0.9062,1
1193,12'h4A9,0.4062,1
1194,12'h4AA,0.6875,1
1195,12'h4AB,0.1875,1
1196,12'h4AC,0.7812,1
1197,12'h4AD,0.3125,1
1198,12'h4AE,0.5625,1
1199,12'h4AF,0.0312,1
1200,12'h4B0,0.9375,1
1201,12'h4B1,0.4375,1
1202,12'h4B2,0.6875,1
1203,12'h4B3,0.1875,1
1204,12'h4B4,0.8438,1
1205,12'h4B5,0.3125,1
1206,12'h4B6,0.5625,1
1207,12'h4B7,0.0938,1
1208,12'h4B8,0.9062,1
1209,12'h4B9,0.4062,1
1210,12'h4BA,0.6562,1
1211,12'h4BB,0.1562,1
1212,12'h4BC,0.7500,1
1213,12'h4BD,0.2500,1
1214,12'h4BE,0.5000,1
1215,12'h4BF,0.0000,0
1216,12'h4C0,1.0000,1
1217,12'h4C1,0.5000,1
1218,12'h4C2,0.7500,1
1219,12'h4C3,0.2500,1
1220,12'h4C4,0.8438,1
1221,12'h4C5,0.3750,1
1222,12'h4C6,0.5938,1
1223,12'h4C7,0.1250,1
1224,12'h4C8,0.9375,1
1225,12'h4C9,0.4062,1
1226,12'h4CA,0.6875,1
1227,12'h4CB,0.1875,1
1228,12'h4CC,0.7812,1
1229,12'h4CD,0.3125,1
1230,12'h4CE,0.5625,1
1231,12'h4CF,0.0625,1
1232,12'h4D0,0.9375,1
1233,12'h4D1,0.4688,1
1234,12'h4D2,0.7188,1
1235,12'h4D3,0.2188,1
1236,12'h4D4,0.8438,1
1237,12'h4D5,0.3438,1
1238,12'h4D6,0.5625,1
1239,12'h4D7,0.0938,1
1240,12'h4D8,0.9062,1
1241,12'h4D9,0.4062,1
1242,12'h4DA,0.6562,1
1243,12'h4DB,0.1562,1
1244,12'h4DC,0.7812,1
1245,12'h4DD,0.2812,1
1246,12'h4DE,0.5000,1
1247,12'h4DF,0.0312,1
1248,12'h4E0,0.9688,1
1249,12'h4E1,0.4688,1
1250,12'h4E2,0.7188,1
1251,12'h4E3,0.2188,1
1252,12'h4E4,0.8438,1
1253,12'h4E5,0.3438,1
1254,12'h4E6,0.5938,1
1255,12'h4E7,0.0938,1
1256,12'h4E8,0.9062,1
1257,12'h4E9,0.4062,1
1258,12'h4EA,0.6875,1
1259,12'h4EB,0.1562,1
1260,12'h4EC,0.7812,1
1261,12'h4ED,0.2812,1
1262,12'h4EE,0.5312,1
1263,12'h4EF,0.0312,1
1264,12'h4F0,0.9375,1
1265,12'h4F1,0.4375,1
1266,12'h4F2,0.6875,1
1267,12'h4F3,0.1875,1
1268,12'h4F4,0.8125,1
1269,12'h4F5,0.3125,1
1270,12'h4F6,0.5625,1
1271,12'h4F7,0.0625,1
1272,12'h4F8,0.9062,1
1273,12'h4F9,0.4062,1
1274,12'h4FA,0.6250,1
1275,12'h4FB,0.1250,1
1276,12'h4FC,0.7500,1
1277,12'h4FD,0.2500,1
1278,12'h4FE,0.5000,1
1279,12'h4FF,0.0000,0
1280,12'h500,1.0000,1
1281,12'h501,0.5000,1
1282,12'h502,0.7500,1
1283,12'h503,0.2500,1
1284,12'h504,0.8750,1
1285,12'h505,0.3750,1
1286,12'h506,0.6250,1
1287,12'h507,0.1250,1
1288,12'h508,0.9375,1
1289,12'h509,0.4375,1
1290,12'h50A,0.6875,1
1291,12'h50B,0.1875,1
1292,12'h50C,0.8125,1
1293,12'h50D,0.3125,1
1294,12'h50E,0.5625,1
1295,12'h50F,0.0625,1
1296,12'h510,0.9688,1
1297,12'h511,0.4688,1
1298,12'h512,0.7188,1
1299,12'h513,0.2188,1
1300,12'h514,0.8438,1
1301,12'h515,0.3438,1
1302,12'h516,0.5625,1
1303,12'h517,0.0938,1
1304,12'h518,0.9062,1
1305,12'h519,0.4062,1
1306,12'h51A,0.6562,1
1307,12'h51B,0.1562,1
1308,12'h51C,0.7812,1
1309,12'h51D,0.2812,1
1310,12'h51E,0.5312,1
1311,12'h51F,0.0312,1
1312,12'h520,1.0000,1
1313,12'h521,0.5000,1
1314,12'h522,0.7500,1
1315,12'h523,0.2188,1
1316,12'h524,0.8438,1
1317,12'h525,0.3750,1
1318,12'h526,0.5938,1
1319,12'h527,0.1250,1
1320,12'h528,0.9062,1
1321,12'h529,0.4062,1
1322,12'h52A,0.6875,1
1323,12'h52B,0.1875,1
1324,12'h52C,0.7812,1
1325,12'h52D,0.3125,1
1326,12'h52E,0.5625,1
1327,12'h52F,0.0312,1
1328,12'h530,0.9375,1
1329,12'h531,0.4688,1
1330,12'h532,0.6875,1
1331,12'h533,0.1875,1
1332,12'h534,0.8438,1
1333,12'h535,0.3438,1
1334,12'h536,0.5625,1
1335,12'h537,0.0938,1
1336,12'h538,0.9062,1
1337,12'h539,0.4062,1
1338,12'h53A,0.6562,1
1339,12'h53B,0.1562,1
1340,12'h53C,0.7812,1
1341,12'h53D,0.2500,1
1342,12'h53E,0.5000,1
1343,12'h53F,0.0000,0
1344,12'h540,1.0000,1
1345,12'h541,0.5000,1
1346,12'h542,0.7500,1
1347,12'h543,0.2500,1
1348,12'h544,0.8438,1
1349,12'h545,0.3750,1
1350,12'h546,0.5938,1
1351,12'h547,0.1250,1
1352,12'h548,0.9375,1
1353,12'h549,0.4062,1
1354,12'h54A,0.6875,1
1355,12'h54B,0.1875,1
1356,12'h54C,0.7812,1
1357,12'h54D,0.3125,1
1358,12'h54E,0.5625,1
1359,12'h54F,0.0625,1
1360,12'h550,0.9688,1
1361,12'h551,0.4688,1
1362,12'h552,0.7188,1
1363,12'h553,0.2188,1
1364,12'h554,0.8438,1
1365,12'h555,0.3438,1
1366,12'h556,0.5625,1
1367,12'h557,0.0938,1
1368,12'h558,0.9062,1
1369,12'h559,0.4062,1
1370,12'h55A,0.6562,1
1371,12'h55B,0.1562,1
1372,12'h55C,0.7812,1
1373,12'h55D,0.2812,1
1374,12'h55E,0.5000,1
1375,12'h55F,0.0312,1
1376,12'h560,0.9688,1
1377,12'h561,0.4688,1
1378,12'h562,0.7188,1
1379,12'h563,0.2188,1
1380,12'h564,0.8438,1
1381,12'h565,0.3438,1
1382,12'h566,0.5938,1
1383,12'h567,0.0938,1
1384,12'h568,0.9062,1
1385,12'h569,0.4062,1
1386,12'h56A,0.6875,1
1387,12'h56B,0.1562,1
1388,12'h56C,0.7812,1
1389,12'h56D,0.2812,1
1390,12'h56E,0.5312,1
1391,12'h56F,0.0312,1
1392,12'h570,0.9375,1
1393,12'h571,0.4375,1
1394,12'h572,0.6875,1
1395,12'h573,0.1875,1
1396,12'h574,0.8125,1
1397,12'h575,0.3125,1
1398,12'h576,0.5625,1
1399,12'h577,0.0625,1
1400,12'h578,0.9062,1
1401,12'h579,0.4062,1
1402,12'h57A,0.6250,1
1403,12'h57B,0.1250,1
1404,12'h57C,0.7500,1
1405,12'h57D,0.2500,1
1406,12'h57E,0.5000,1
1407,12'h57F,0.0000,0
1408,12'h580,1.0000,1
1409,12'h581,0.5000,1
1410,12'h582,0.7500,1
1411,12'h583,0.2500,1
1412,12'h584,0.8438,1
1413,12'h585,0.3750,1
1414,12'h586,0.6250,1
1415,12'h587,0.1250,1
1416,12'h588,0.9375,1
1417,12'h589,0.4062,1
1418,12'h58A,0.6875,1
1419,12'h58B,0.1875,1
1420,12'h58C,0.8125,1
1421,12'h58D,0.3125,1
1422,12'h58E,0.5625,1
1423,12'h58F,0.0625,1
1424,12'h590,0.9688,1
1425,12'h591,0.4688,1
1426,12'h592,0.7188,1
1427,12'h593,0.2188,1
1428,12'h594,0.8438,1
1429,12'h595,0.3438,1
1430,12'h596,0.5625,1
1431,12'h597,0.0938,1
1432,12'h598,0.9062,1
1433,12'h599,0.4062,1
1434,12'h59A,0.6562,1
1435,12'h59B,0.1562,1
1436,12'h59C,0.7812,1
1437,12'h59D,0.2812,1
1438,12'h59E,0.5312,1
1439,12'h59F,0.0312,1
1440,12'h5A0,1.0000,1
1441,12'h5A1,0.4688,1
1442,12'h5A2,0.7500,1
1443,12'h5A3,0.2188,1
1444,12'h5A4,0.8438,1
1445,12'h5A5,0.3438,1
1446,12'h5A6,0.5938,1
1447,12'h5A7,0.0938,1
1448,12'h5A8,0.9062,1
1449,12'h5A9,0.4062,1
1450,12'h5AA,0.6875,1
1451,12'h5AB,0.1875,1
1452,12'h5AC,0.7812,1
1453,12'h5AD,0.3125,1
1454,12'h5AE,0.5625,1
1455,12'h5AF,0.0312,1
1456,12'h5B0,0.9375,1
1457,12'h5B1,0.4375,1
1458,12'h5B2,0.6875,1
1459,12'h5B3,0.1875,1
1460,12'h5B4,0.8438,1
1461,12'h5B5,0.3125,1
1462,12'h5B6,0.5625,1
1463,12'h5B7,0.0938,1
1464,12'h5B8,0.9062,1
1465,12'h5B9,0.4062,1
1466,12'h5BA,0.6562,1
1467,12'h5BB,0.1562,1
1468,12'h5BC,0.7500,1
1469,12'h5BD,0.2500,1
1470,12'h5BE,0.5000,1
1471,12'h5BF,0.0000,0
1472,12'h5C0,1.0000,1
1473,12'h5C1,0.5000,1
1474,12'h5C2,0.7500,1
1475,12'h5C3,0.2188,1
1476,12'h5C4,0.8438,1
1477,12'h5C5,0.3750,1
1478,12'h5C6,0.5938,1
1479,12'h5C7,0.1250,1
1480,12'h5C8,0.9375,1
1481,12'h5C9,0.4062,1
1482,12'h5CA,0.6875,1
1483,12'h5CB,0.1875,1
1484,12'h5CC,0.7812,1
1485,12'h5CD,0.3125,1
1486,12'h5CE,0.5625,1
1487,12'h5CF,0.0625,1
1488,12'h5D0,0.9375,1
1489,12'h5D1,0.4688,1
1490,12'h5D2,0.7188,1
1491,12'h5D3,0.2188,1
1492,12'h5D4,0.8438,1
1493,12'h5D5,0.3438,1
1494,12'h5D6,0.5625,1
1495,12'h5D7,0.0938,1
1496,12'h5D8,0.9062,1
1497,12'h5D9,0.4062,1
1498,12'h5DA,0.6562,1
1499,12'h5DB,0.1562,1
1500,12'h5DC,0.7812,1
1501,12'h5DD,0.2812,1
1502,12'h5DE,0.5000,1
1503,12'h5DF,0.0000,0
1504,12'h5E0,0.9688,1
1505,12'h5E1,0.4688,1
1506,12'h5E2,0.7188,1
1507,12'h5E3,0.2188,1
1508,12'h5E4,0.8438,1
1509,12'h5E5,0.3438,1
1510,12'h5E6,0.5938,1
1511,12'h5E7,0.0938,1
1512,12'h5E8,0.9062,1
1513,12'h5E9,0.4062,1
1514,12'h5EA,0.6562,1
1515,12'h5EB,0.1562,1
1516,12'h5EC,0.7812,1
1517,12'h5ED,0.2812,1
1518,12'h5EE,0.5312,1
1519,12'h5EF,0.0312,1
1520,12'h5F0,0.9375,1
1521,12'h5F1,0.4375,1
1522,12'h5F2,0.6875,1
1523,12'h5F3,0.1875,1
1524,12'h5F4,0.8125,1
1525,12'h5F5,0.3125,1
1526,12'h5F6,0.5625,1
1527,12'h5F7,0.0625,1
1528,12'h5F8,0.9062,1
1529,12'h5F9,0.3750,1
1530,12'h5FA,0.6250,1
1531,12'h5FB,0.1250,1
1532,12'h5FC,0.7500,1
1533,12'h5FD,0.2500,1
1534,12'h5FE,0.5000,1
1535,12'h5FF,0.0000,0
1536,12'h600,1.0000,1
1537,12'h601,0.5000,1
1538,12'h602,0.7500,1
1539,12'h603,0.2500,1
1540,12'h604,0.8750,1
1541,12'h605,0.3750,1
1542,12'h606,0.6250,1
1543,12'h607,0.1250,1
1544,12'h608,0.9375,1
1545,12'h609,0.4375,1
1546,12'h60A,0.6875,1
1547,12'h60B,0.1875,1
1548,12'h60C,0.8125,1
1549,12'h60D,0.3125,1
1550,12'h60E,0.5625,1
1551,12'h60F,0.0625,1
1552,12'h610,0.9688,1
1553,12'h611,0.4688,1
1554,12'h612,0.7188,1
1555,12'h613,0.2188,1
1556,12'h614,0.8438,1
1557,12'h615,0.3438,1
1558,12'h616,0.5625,1
1559,12'h617,0.0938,1
1560,12'h618,0.9062,1
1561,12'h619,0.4062,1
1562,12'h61A,0.6562,1
1563,12'h61B,0.1562,1
1564,12'h61C,0.7812,1
1565,12'h61D,0.2812,1
1566,12'h61E,0.5312,1
1567,12'h61F,0.0312,1
1568,12'h620,1.0000,1
1569,12'h621,0.5000,1
1570,12'h622,0.7500,1
1571,12'h623,0.2188,1
1572,12'h624,0.8438,1
1573,12'h625,0.3750,1
1574,12'h626,0.5938,1
1575,12'h627,0.1250,1
1576,12'h628,0.9062,1
1577,12'h629,0.4062,1
1578,12'h62A,0.6875,1
1579,12'h62B,0.1875,1
1580,12'h62C,0.7812,1
1581,12'h62D,0.3125,1
1582,12'h62E,0.5625,1
1583,12'h62F,0.0625,1
1584,12'h630,0.9375,1
1585,12'h631,0.4688,1
1586,12'h632,0.6875,1
1587,12'h633,0.1875,1
1588,12'h634,0.8438,1
1589,12'h635,0.3438,1
1590,12'h636,0.5625,1
1591,12'h637,0.0938,1
1592,12'h638,0.9062,1
1593,12'h639,0.4062,1
1594,12'h63A,0.6562,1
1595,12'h63B,0.1562,1
1596,12'h63C,0.7812,1
1597,12'h63D,0.2812,1
1598,12'h63E,0.5000,1
1599,12'h63F,0.0000,0
1600,12'h640,1.0000,1
1601,12'h641,0.5000,1
1602,12'h642,0.7500,1
1603,12'h643,0.2500,1
1604,12'h644,0.8438,1
1605,12'h645,0.3750,1
1606,12'h646,0.5938,1
1607,12'h647,0.1250,1
1608,12'h648,0.9375,1
1609,12'h649,0.4062,1
1610,12'h64A,0.6875,1
1611,12'h64B,0.1875,1
1612,12'h64C,0.8125,1
1613,12'h64D,0.3125,1
1614,12'h64E,0.5625,1
1615,12'h64F,0.0625,1
1616,12'h650,0.9688,1
1617,12'h651,0.4688,1
1618,12'h652,0.7188,1
1619,12'h653,0.2188,1
1620,12'h654,0.8438,1
1621,12'h655,0.3438,1
1622,12'h656,0.5625,1
1623,12'h657,0.0938,1
1624,12'h658,0.9062,1
1625,12'h659,0.4062,1
1626,12'h65A,0.6562,1
1627,12'h65B,0.1562,1
1628,12'h65C,0.7812,1
1629,12'h65D,0.2812,1
1630,12'h65E,0.5000,1
1631,12'h65F,0.0312,1
1632,12'h660,1.0000,1
1633,12'h661,0.4688,1
1634,12'h662,0.7188,1
1635,12'h663,0.2188,1
1636,12'h664,0.8438,1
1637,12'h665,0.3438,1
1638,12'h666,0.5938,1
1639,12'h667,0.0938,1
1640,12'h668,0.9062,1
1641,12'h669,0.4062,1
1642,12'h66A,0.6875,1
1643,12'h66B,0.1562,1
1644,12'h66C,0.7812,1
1645,12'h66D,0.2812,1
1646,12'h66E,0.5312,1
1647,12'h66F,0.0312,1
1648,12'h670,0.9375,1
1649,12'h671,0.4375,1
1650,12'h672,0.6875,1
1651,12'h673,0.1875,1
1652,12'h674,0.8438,1
1653,12'h675,0.3125,1
1654,12'h676,0.5625,1
1655,12'h677,0.0625,1
1656,12'h678,0.9062,1
1657,12'h679,0.4062,1
1658,12'h67A,0.6250,1
1659,12'h67B,0.1250,1
1660,12'h67C,0.7500,1
1661,12'h67D,0.2500,1
1662,12'h67E,0.5000,1
1663,12'h67F,0.0000,0
1664,12'h680,1.0000,1
1665,12'h681,0.5000,1
