Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error
1666,12'h682,0.7500,1
1667,12'h683,0.2500,1
1668,12'h684,0.8750,1
1669,12'h685,0.3750,1
1670,12'h686,0.6250,1
1671,12'h687,0.1250,1
1672,12'h688,0.9375,1
1673,12'h689,0.4062,1
1674,12'h68A,0.6875,1
1675,12'h68B,0.1875,1
1676,12'h68C,0.8125,1
1677,12'h68D,0.3125,1
1678,12'h68E,0.5625,1
1679,12'h68F,0.0625,1
1680,12'h690,0.9688,1
1681,12'h691,0.4688,1
1682,12'h692,0.7188,1
1683,12'h693,0.2188,1
1684,12'h694,0.8438,1
1685,12'h695,0.3438,1
1686,12'h696,0.5625,1
1687,12'h697,0.0938,1
1688,12'h698,0.9062,1
1689,12'h699,0.4062,1
1690,12'h69A,0.6562,1
1691,12'h69B,0.1562,1
1692,12'h69C,0.7812,1
1693,12'h69D,0.2812,1
1694,12'h69E,0.5312,1
1695,12'h69F,0.0312,1
1696,12'h6A0,1.0000,1
1697,12'h6A1,0.4688,1
1698,12'h6A2,0.7500,1
1699,12'h6A3,0.2188,1
1700,12'h6A4,0.8438,1
1701,12'h6A5,0.3438,1
1702,12'h6A6,0.5938,1
1703,12'h6A7,0.0938,1
1704,12'h6A8,0.9062,1
1705,12'h6A9,0.4062,1
1706,12'h6AA,0.6875,1
1707,12'h6AB,0.1875,1
1708,12'h6AC,0.7812,1
1709,12'h6AD,0.3125,1
1710,12'h6AE,0.5625,1
1711,12'h6AF,0.0312,1
1712,12'h6B0,0.9375,1
1713,12'h6B1,0.4375,1
1714,12'h6B2,0.6875,1
1715,12'h6B3,0.1875,1
1716,12'h6B4,0.8438,1
1717,12'h6B5,0.3125,1
1718,12'h6B6,0.5625,1
1719,12'h6B7,0.0938,1
1720,12'h6B8,0.9062,1
1721,12'h6B9,0.4062,1
1722,12'h6BA,0.6562,1
1723,12'h6BB,0.1562,1
1724,12'h6BC,0.7500,1
1725,12'h6BD,0.2500,1
1726,12'h6BE,0.5000,1
1727,12'h6BF,0.0000,0
1728,12'h6C0,1.0000,1
1729,12'h6C1,0.5000,1
1730,12'h6C2,0.7500,1
1731,12'h6C3,0.2188,1
1732,12'h6C4,0.8438,1
1733,12'h6C5,0.3750,1
1734,12'h6C6,0.5938,1
1735,12'h6C7,0.1250,1
1736,12'h6C8,0.9375,1
1737,12'h6C9,0.4062,1
1738,12'h6CA,0.6875,1
1739,12'h6CB,0.1875,1
1740,12'h6CC,0.7812,1
1741,12'h6CD,0.3125,1
1742,12'h6CE,0.5625,1
1743,12'h6CF,0.0625,1
1744,12'h6D0,0.9375,1
1745,12'h6D1,0.4688,1
1746,12'h6D2,0.7188,1
1747,12'h6D3,0.2188,1
1748,12'h6D4,0.8438,1
1749,12'h6D5,0.3438,1
1750,12'h6D6,0.5625,1
1751,12'h6D7,0.0938,1
1752,12'h6D8,0.9062,1
1753,12'h6D9,0.4062,1
1754,12'h6DA,0.6562,1
1755,12'h6DB,0.1562,1
1756,12'h6DC,0.7812,1
1757,12'h6DD,0.2812,1
1758,12'h6DE,0.5000,1
1759,12'h6DF,0.0312,1
1760,12'h6E0,0.9688,1
1761,12'h6E1,0.4688,1
1762,12'h6E2,0.7188,1
1763,12'h6E3,0.2188,1
1764,12'h6E4,0.8438,1
1765,12'h6E5,0.3438,1
1766,12'h6E6,0.5938,1
1767,12'h6E7,0.0938,1
1768,12'h6E8,0.9062,1
1769,12'h6E9,0.4062,1
1770,12'h6EA,0.6875,1
1771,12'h6EB,0.1562,1
1772,12'h6EC,0.7812,1
1773,12'h6ED,0.2812,1
1774,12'h6EE,0.5312,1
1775,12'h6EF,0.0312,1
1776,12'h6F0,0.9375,1
1777,12'h6F1,0.4375,1
1778,12'h6F2,0.6875,1
1779,12'h6F3,0.1875,1
1780,12'h6F4,0.8125,1
1781,12'h6F5,0.3125,1
1782,12'h6F6,0.5625,1
1783,12'h6F7,0.0625,1
1784,12'h6F8,0.9062,1
1785,12'h6F9,0.3750,1
1786,12'h6FA,0.6250,1
1787,12'h6FB,0.1250,1
1788,12'h6FC,0.7500,1
1789,12'h6FD,0.2500,1
1790,12'h6FE,0.5000,1
1791,12'h6FF,0.0000,0
1792,12'h700,1.0000,1
1793,12'h701,0.5000,1
1794,12'h702,0.7500,1
1795,12'h703,0.2500,1
1796,12'h704,0.8750,1
1797,12'h705,0.3750,1
1798,12'h706,0.6250,1
1799,12'h707,0.1250,1
1800,12'h708,0.9375,1
1801,12'h709,0.4375,1
1802,12'h70A,0.6875,1
1803,12'h70B,0.1875,1
1804,12'h70C,0.8125,1
1805,12'h70D,0.3125,1
1806,12'h70E,0.5625,1
1807,12'h70F,0.0625,1
1808,12'h710,0.9688,1
1809,12'h711,0.4688,1
1810,12'h712,0.7188,1
1811,12'h713,0.2188,1
1812,12'h714,0.8438,1
1813,12'h715,0.3438,1
1814,12'h716,0.5625,1
1815,12'h717,0.0938,1
1816,12'h718,0.9062,1
1817,12'h719,0.4062,1
1818,12'h71A,0.6562,1
1819,12'h71B,0.1562,1
1820,12'h71C,0.7812,1
1821,12'h71D,0.2812,1
1822,12'h71E,0.5312,1
1823,12'h71F,0.0312,1
1824,12'h720,1.0000,1
1825,12'h721,0.5000,1
1826,12'h722,0.7500,1
1827,12'h723,0.2188,1
1828,12'h724,0.8438,1
1829,12'h725,0.3438,1
1830,12'h726,0.5938,1
1831,12'h727,0.1250,1
1832,12'h728,0.9062,1
1833,12'h729,0.4062,1
1834,12'h72A,0.6875,1
1835,12'h72B,0.1875,1
1836,12'h72C,0.7812,1
1837,12'h72D,0.3125,1
1838,12'h72E,0.5625,1
1839,12'h72F,0.0312,1
1840,12'h730,0.9375,1
1841,12'h731,0.4375,1
1842,12'h732,0.6875,1
1843,12'h733,0.1875,1
1844,12'h734,0.8438,1
1845,12'h735,0.3438,1
1846,12'h736,0.5625,1
1847,12'h737,0.0938,1
1848,12'h738,0.9062,1
1849,12'h739,0.4062,1
1850,12'h73A,0.6562,1
1851,12'h73B,0.1562,1
1852,12'h73C,0.7812,1
1853,12'h73D,0.2500,1
1854,12'h73E,0.5000,1
1855,12'h73F,0.0000,0
1856,12'h740,1.0000,1
1857,12'h741,0.5000,1
1858,12'h742,0.7500,1
1859,12'h743,0.2500,1
1860,12'h744,0.8438,1
1861,12'h745,0.3750,1
1862,12'h746,0.5938,1
1863,12'h747,0.1250,1
1864,12'h748,0.9375,1
1865,12'h749,0.4062,1
1866,12'h74A,0.6875,1
1867,12'h74B,0.1875,1
1868,12'h74C,0.7812,1
1869,12'h74D,0.3125,1
1870,12'h74E,0.5625,1
1871,12'h74F,0.0625,1
1872,12'h750,0.9688,1
1873,12'h751,0.4688,1
1874,12'h752,0.7188,1
1875,12'h753,0.2188,1
1876,12'h754,0.8438,1
1877,12'h755,0.3438,1
1878,12'h756,0.5625,1
1879,12'h757,0.0938,1
1880,12'h758,0.9062,1
1881,12'h759,0.4062,1
1882,12'h75A,0.6562,1
1883,12'h75B,0.1562,1
1884,12'h75C,0.7812,1
1885,12'h75D,0.2812,1
1886,12'h75E,0.5000,1
1887,12'h75F,0.0312,1
1888,12'h760,0.9688,1
1889,12'h761,0.4688,1
1890,12'h762,0.7188,1
1891,12'h763,0.2188,1
1892,12'h764,0.8438,1
1893,12'h765,0.3438,1
1894,12'h766,0.5938,1
1895,12'h767,0.0938,1
1896,12'h768,0.9062,1
1897,12'h769,0.4062,1
1898,12'h76A,0.6875,1
1899,12'h76B,0.1562,1
1900,12'h76C,0.7812,1
1901,12'h76D,0.2812,1
1902,12'h76E,0.5312,1
1903,12'h76F,0.0312,1
1904,12'h770,0.9375,1
1905,12'h771,0.4375,1
1906,12'h772,0.6875,1
1907,12'h773,0.1875,1
1908,12'h774,0.8125,1
1909,12'h775,0.3125,1
1910,12'h776,0.5625,1
1911,12'h777,0.0625,1
1912,12'h778,0.9062,1
1913,12'h779,0.4062,1
1914,12'h77A,0.6250,1
1915,12'h77B,0.1250,1
1916,12'h77C,0.7500,1
1917,12'h77D,0.2500,1
1918,12'h77E,0.5000,1
1919,12'h77F,0.0000,0
1920,12'h780,1.0000,1
1921,12'h781,0.5000,1
1922,12'h782,0.7500,1
1923,12'h783,0.2500,1
1924,12'h784,0.8438,1
1925,12'h785,0.3750,1
1926,12'h786,0.6250,1
1927,12'h787,0.1250,1
1928,12'h788,0.9375,1
1929,12'h789,0.4062,1
1930,12'h78A,0.6875,1
1931,12'h78B,0.1875,1
1932,12'h78C,0.8125,1
1933,12'h78D,0.3125,1
1934,12'h78E,0.5625,1
1935,12'h78F,0.0625,1
1936,12'h790,0.9688,1
1937,12'h791,0.4688,1
1938,12'h792,0.7188,1
1939,12'h793,0.2188,1
1940,12'h794,0.8438,1
1941,12'h795,0.3438,1
1942,12'h796,0.5625,1
1943,12'h797,0.0938,1
1944,12'h798,0.9062,1
1945,12'h799,0.4062,1
1946,12'h79A,0.6562,1
1947,12'h79B,0.1562,1
1948,12'h79C,0.7812,1
1949,12'h79D,0.2812,1
1950,12'h79E,0.5312,1
1951,12'h79F,0.0312,1
1952,12'h7A0,1.0000,1
1953,12'h7A1,0.4688,1
1954,12'h7A2,0.7188,1
1955,12'h7A3,0.2188,1
1956,12'h7A4,0.8438,1
1957,12'h7A5,0.3438,1
1958,12'h7A6,0.5938,1
1959,12'h7A7,0.0938,1
1960,12'h7A8,0.9062,1
1961,12'h7A9,0.4062,1
1962,12'h7AA,0.6875,1
1963,12'h7AB,0.1875,1
1964,12'h7AC,0.7812,1
1965,12'h7AD,0.3125,1
1966,12'h7AE,0.5625,1
1967,12'h7AF,0.0312,1
1968,12'h7B0,0.9375,1
1969,12'h7B1,0.4375,1
1970,12'h7B2,0.6875,1
1971,12'h7B3,0.1875,1
1972,12'h7B4,0.8438,1
1973,12'h7B5,0.3125,1
1974,12'h7B6,0.5625,1
1975,12'h7B7,0.0938,1
1976,12'h7B8,0.9062,1
1977,12'h7B9,0.4062,1
1978,12'h7BA,0.6562,1
1979,12'h7BB,0.1250,1
1980,12'h7BC,0.7500,1
1981,12'h7BD,0.2500,1
1982,12'h7BE,0.5000,1
1983,12'h7BF,0.0000,0
1984,12'h7C0,1.0000,1
1985,12'h7C1,0.5000,1
1986,12'h7C2,0.7500,1
1987,12'h7C3,0.2188,1
1988,12'h7C4,0.8438,1
1989,12'h7C5,0.3750,1
1990,12'h7C6,0.5938,1
1991,12'h7C7,0.1250,1
1992,12'h7C8,0.9375,1
1993,12'h7C9,0.4062,1
1994,12'h7CA,0.6875,1
1995,12'h7CB,0.1875,1
1996,12'h7CC,0.7812,1
1997,12'h7CD,0.3125,1
1998,12'h7CE,0.5625,1
1999,12'h7CF,0.0625,1
2000,12'h7D0,0.9375,1
2001,12'h7D1,0.4688,1
2002,12'h7D2,0.6875,1
2003,12'h7D3,0.1875,1
2004,12'h7D4,0.8438,1
2005,12'h7D5,0.3438,1
2006,12'h7D6,0.5625,1
2007,12'h7D7,0.0938,1
2008,12'h7D8,0.9062,1
2009,12'h7D9,0.4062,1
2010,12'h7DA,0.6562,1
2011,12'h7DB,0.1562,1
2012,12'h7DC,0.7812,1
2013,12'h7DD,0.2812,1
2014,12'h7DE,0.5000,1
2015,12'h7DF,0.0000,0
2016,12'h7E0,0.9688,1
2017,12'h7E1,0.4688,1
2018,12'h7E2,0.7188,1
2019,12'h7E3,0.2188,1
2020,12'h7E4,0.8438,1
2021,12'h7E5,0.3438,1
2022,12'h7E6,0.5938,1
2023,12'h7E7,0.0938,1
2024,12'h7E8,0.9062,1
2025,12'h7E9,0.4062,1
2026,12'h7EA,0.6562,1
2027,12'h7EB,0.1562,1
2028,12'h7EC,0.7812,1
2029,12'h7ED,0.2812,1
2030,12'h7EE,0.5312,1
2031,12'h7EF,0.0312,1
2032,12'h7F0,0.9375,1
2033,12'h7F1,0.4375,1
2034,12'h7F2,0.6875,1
2035,12'h7F3,0.1875,1
2036,12'h7F4,0.8125,1
2037,12'h7F5,0.3125,1
2038,12'h7F6,0.5625,1
2039,12'h7F7,0.0625,1
2040,12'h7F8,0.9062,1
2041,12'h7F9,0.3750,1
2042,12'h7FA,0.6250,1
2043,12'h7FB,0.1250,1
2044,12'h7FC,0.7500,1
2045,12'h7FD,0.2500,1
2046,12'h7FE,0.5000,1
2047,12'h7FF,0.0000,0
2048,12'h800,1.0000,1
2049,12'h801,0.5000,1
2050,12'h802,0.7500,1
2051,12'h803,0.2500,1
2052,12'h804,0.8750,1
2053,12'h805,0.3750,1
2054,12'h806,0.6250,1
2055,12'h807,0.1250,1
2056,12'h808,0.9375,1
2057,12'h809,0.4375,1
2058,12'h80A,0.6875,1
2059,12'h80B,0.1875,1
2060,12'h80C,0.8125,1
2061,12'h80D,0.3125,1
2062,12'h80E,0.5625,1
2063,12'h80F,0.0625,1
2064,12'h810,0.9688,1
2065,12'h811,0.4688,1
2066,12'h812,0.7188,1
2067,12'h813,0.2188,1
2068,12'h814,0.8438,1
2069,12'h815,0.3438,1
2070,12'h816,0.5938,1
2071,12'h817,0.0938,1
2072,12'h818,0.9062,1
2073,12'h819,0.4062,1
2074,12'h81A,0.6562,1
2075,12'h81B,0.1562,1
2076,12'h81C,0.7812,1
2077,12'h81D,0.2812,1
2078,12'h81E,0.5312,1
2079,12'h81F,0.0312,1
2080,12'h820,1.0000,1
2081,12'h821,0.5000,1
2082,12'h822,0.7500,1
2083,12'h823,0.2188,1
2084,12'h824,0.8438,1
2085,12'h825,0.3750,1
2086,12'h826,0.5938,1
2087,12'h827,0.1250,1
2088,12'h828,0.9062,1
2089,12'h829,0.4062,1
2090,12'h82A,0.6875,1
2091,12'h82B,0.1875,1
2092,12'h82C,0.7812,1
2093,12'h82D,0.3125,1
2094,12'h82E,0.5625,1
2095,12'h82F,0.0625,1
2096,12'h830,0.9375,1
2097,12'h831,0.4688,1
2098,12'h832,0.6875,1
2099,12'h833,0.1875,1
2100,12'h834,0.8438,1
2101,12'h835,0.3438,1
2102,12'h836,0.5625,1
2103,12'h837,0.0938,1
2104,12'h838,0.9062,1
2105,12'h839,0.4062,1
2106,12'h83A,0.6562,1
2107,12'h83B,0.1562,1
2108,12'h83C,0.7812,1
2109,12'h83D,0.2812,1
2110,12'h83E,0.5000,1
2111,12'h83F,0.0000,0
2112,12'h840,1.0000,1
2113,12'h841,0.5000,1
2114,12'h842,0.7500,1
2115,12'h843,0.2500,1
2116,12'h844,0.8438,1
2117,12'h845,0.3750,1
2118,12'h846,0.5938,1
2119,12'h847,0.1250,1
2120,12'h848,0.9375,1
2121,12'h849,0.4062,1
2122,12'h84A,0.6875,1
2123,12'h84B,0.1875,1
2124,12'h84C,0.8125,1
2125,12'h84D,0.3125,1
2126,12'h84E,0.5625,1
2127,12'h84F,0.0625,1
2128,12'h850,0.9688,1
2129,12'h851,0.4688,1
2130,12'h852,0.7188,1
2131,12'h853,0.2188,1
2132,12'h854,0.8438,1
2133,12'h855,0.3438,1
2134,12'h856,0.5625,1
2135,12'h857,0.0938,1
2136,12'h858,0.9062,1
2137,12'h859,0.4062,1
2138,12'h85A,0.6562,1
2139,12'h85B,0.1562,1
2140,12'h85C,0.7812,1
2141,12'h85D,0.2812,1
2142,12'h85E,0.5000,1
2143,12'h85F,0.0312,1
2144,12'h860,1.0000,1
2145,12'h861,0.4688,1
2146,12'h862,0.7188,1
2147,12'h863,0.2188,1
2148,12'h864,0.8438,1
2149,12'h865,0.3438,1
2150,12'h866,0.5938,1
2151,12'h867,0.0938,1
2152,12'h868,0.9062,1
2153,12'h869,0.4062,1
2154,12'h86A,0.6875,1
2155,12'h86B,0.1562,1
2156,12'h86C,0.7812,1
2157,12'h86D,0.3125,1
2158,12'h86E,0.5625,1
2159,12'h86F,0.0312,1
2160,12'h870,0.9375,1
2161,12'h871,0.4375,1
2162,12'h872,0.6875,1
2163,12'h873,0.1875,1
2164,12'h874,0.8438,1
2165,12'h875,0.3125,1
2166,12'h876,0.5625,1
2167,12'h877,0.0938,1
2168,12'h878,0.9062,1
2169,12'h879,0.4062,1
2170,12'h87A,0.6250,1
2171,12'h87B,0.1250,1
2172,12'h87C,0.7500,1
2173,12'h87D,0.2500,1
2174,12'h87E,0.5000,1
2175,12'h87F,0.0000,0
2176,12'h880,1.0000,1
2177,12'h881,0.5000,1
2178,12'h882,0.7500,1
2179,12'h883,0.2500,1
2180,12'h884,0.8750,1
2181,12'h885,0.3750,1
2182,12'h886,0.6250,1
2183,12'h887,0.1250,1
2184,12'h888,0.9375,1
2185,12'h889,0.4375,1
2186,12'h88A,0.6875,1
2187,12'h88B,0.1875,1
2188,12'h88C,0.8125,1
2189,12'h88D,0.3125,1
2190,12'h88E,0.5625,1
2191,12'h88F,0.0625,1
2192,12'h890,0.9688,1
2193,12'h891,0.4688,1
2194,12'h892,0.7188,1
2195,12'h893,0.2188,1
2196,12'h894,0.8438,1
2197,12'h895,0.3438,1
2198,12'h896,0.5625,1
2199,12'h897,0.0938,1
2200,12'h898,0.9062,1
2201,12'h899,0.4062,1
2202,12'h89A,0.6562,1
2203,12'h89B,0.1562,1
2204,12'h89C,0.7812,1
2205,12'h89D,0.2812,1
2206,12'h89E,0.5312,1
2207,12'h89F,0.0312,1
2208,12'h8A0,1.0000,1
2209,12'h8A1,0.4688,1
2210,12'h8A2,0.7500,1
2211,12'h8A3,0.2188,1
2212,12'h8A4,0.8438,1
2213,12'h8A5,0.3438,1
2214,12'h8A6,0.5938,1
2215,12'h8A7,0.0938,1
2216,12'h8A8,0.9062,1
2217,12'h8A9,0.4062,1
2218,12'h8AA,0.6875,1
2219,12'h8AB,0.1875,1
2220,12'h8AC,0.7812,1
2221,12'h8AD,0.3125,1
2222,12'h8AE,0.5625,1
2223,12'h8AF,0.0312,1
2224,12'h8B0,0.9375,1
2225,12'h8B1,0.4375,1
2226,12'h8B2,0.6875,1
2227,12'h8B3,0.1875,1
2228,12'h8B4,0.8438,1
2229,12'h8B5,0.3125,1
2230,12'h8B6,0.5625,1
2231,12'h8B7,0.0938,1
2232,12'h8B8,0.9062,1
2233,12'h8B9,0.4062,1
2234,12'h8BA,0.6562,1
2235,12'h8BB,0.1562,1
2236,12'h8BC,0.7500,1
2237,12'h8BD,0.2500,1
2238,12'h8BE,0.5000,1
2239,12'h8BF,0.0000,0
2240,12'h8C0,1.0000,1
2241,12'h8C1,0.5000,1
2242,12'h8C2,0.7500,1
2243,12'h8C3,0.2500,1
2244,12'h8C4,0.8438,1
2245,12'h8C5,0.3750,1
2246,12'h8C6,0.5938,1
2247,12'h8C7,0.1250,1
2248,12'h8C8,0.9375,1
2249,12'h8C9,0.4062,1
2250,12'h8CA,0.6875,1
2251,12'h8CB,0.1875,1
2252,12'h8CC,0.7812,1
2253,12'h8CD,0.3125,1
2254,12'h8CE,0.5625,1
2255,12'h8CF,0.0625,1
2256,12'h8D0,0.9688,1
2257,12'h8D1,0.4688,1
2258,12'h8D2,0.7188,1
2259,12'h8D3,0.2188,1
2260,12'h8D4,0.8438,1
2261,12'h8D5,0.3438,1
2262,12'h8D6,0.5625,1
2263,12'h8D7,0.0938,1
2264,12'h8D8,0.9062,1
2265,12'h8D9,0.4062,1
2266,12'h8DA,0.6562,1
2267,12'h8DB,0.1562,1
2268,12'h8DC,0.7812,1
2269,12'h8DD,0.2812,1
2270,12'h8DE,0.5000,1
2271,12'h8DF,0.0312,1
2272,12'h8E0,0.9688,1
2273,12'h8E1,0.4688,1
2274,12'h8E2,0.7188,1
2275,12'h8E3,0.2188,1
2276,12'h8E4,0.8438,1
2277,12'h8E5,0.3438,1
2278,12'h8E6,0.5938,1
2279,12'h8E7,0.0938,1
2280,12'h8E8,0.9062,1
2281,12'h8E9,0.4062,1
2282,12'h8EA,0.6875,1
2283,12'h8EB,0.1562,1
2284,12'h8EC,0.7812,1
2285,12'h8ED,0.2812,1
2286,12'h8EE,0.5312,1
2287,12'h8EF,0.0312,1
2288,12'h8F0,0.9375,1
2289,12'h8F1,0.4375,1
2290,12'h8F2,0.6875,1
2291,12'h8F3,0.1875,1
2292,12'h8F4,0.8125,1
2293,12'h8F5,0.3125,1
2294,12'h8F6,0.5625,1
2295,12'h8F7,0.0625,1
2296,12'h8F8,0.9062,1
2297,12'h8F9,0.4062,1
2298,12'h8FA,0.6250,1
2299,12'h8FB,0.1250,1
2300,12'h8FC,0.7500,1
2301,12'h8FD,0.2500,1
2302,12'h8FE,0.5000,1
2303,12'h8FF,0.0000,0
2304,12'h900,1.0000,1
2305,12'h901,0.5000,1
2306,12'h902,0.7500,1
2307,12'h903,0.2500,1
2308,12'h904,0.8750,1
2309,12'h905,0.3750,1
2310,12'h906,0.6250,1
2311,12'h907,0.1250,1
2312,12'h908,0.9375,1
2313,12'h909,0.4375,1
2314,12'h90A,0.6875,1
2315,12'h90B,0.1875,1
2316,12'h90C,0.8125,1
2317,12'h90D,0.3125,1
2318,12'h90E,0.5625,1
2319,12'h90F,0.0625,1
2320,12'h910,0.9688,1
2321,12'h911,0.4688,1
2322,12'h912,0.7188,1
2323,12'h913,0.2188,1
2324,12'h914,0.8438,1
2325,12'h915,0.3438,1
2326,12'h916,0.5625,1
2327,12'h917,0.0938,1
2328,12'h918,0.9062,1
2329,12'h919,0.4062,1
2330,12'h91A,0.6562,1
2331,12'h91B,0.1562,1
2332,12'h91C,0.7812,1
2333,12'h91D,0.2812,1
2334,12'h91E,0.5312,1
2335,12'h91F,0.0312,1
2336,12'h920,1.0000,1
2337,12'h921,0.5000,1
2338,12'h922,0.7500,1
2339,12'h923,0.2188,1
2340,12'h924,0.8438,1
2341,12'h925,0.3750,1
2342,12'h926,0.5938,1
2343,12'h927,0.1250,1
2344,12'h928,0.9062,1
2345,12'h929,0.4062,1
2346,12'h92A,0.6875,1
2347,12'h92B,0.1875,1
2348,12'h92C,0.7812,1
2349,12'h92D,0.3125,1
2350,12'h92E,0.5625,1
2351,12'h92F,0.0312,1
2352,12'h930,0.9375,1
2353,12'h931,0.4688,1
2354,12'h932,0.6875,1
2355,12'h933,0.1875,1
2356,12'h934,0.8438,1
2357,12'h935,0.3438,1
2358,12'h936,0.5625,1
2359,12'h937,0.0938,1
2360,12'h938,0.9062,1
2361,12'h939,0.4062,1
2362,12'h93A,0.6562,1
2363,12'h93B,0.1562,1
2364,12'h93C,0.7812,1
2365,12'h93D,0.2500,1
2366,12'h93E,0.5000,1
2367,12'h93F,0.0000,0
2368,12'h940,1.0000,1
2369,12'h941,0.5000,1
2370,12'h942,0.7500,1
2371,12'h943,0.2500,1
2372,12'h944,0.8438,1
2373,12'h945,0.3750,1
2374,12'h946,0.5938,1
2375,12'h947,0.1250,1
2376,12'h948,0.9375,1
2377,12'h949,0.4062,1
2378,12'h94A,0.6875,1
2379,12'h94B,0.1875,1
2380,12'h94C,0.7812,1
2381,12'h94D,0.3125,1
2382,12'h94E,0.5625,1
2383,12'h94F,0.0625,1
2384,12'h950,0.9688,1
2385,12'h951,0.4688,1
2386,12'h952,0.7188,1
2387,12'h953,0.2188,1
2388,12'h954,0.8438,1
2389,12'h955,0.3438,1
2390,12'h956,0.5625,1
2391,12'h957,0.0938,1
2392,12'h958,0.9062,1
2393,12'h959,0.4062,1
2394,12'h95A,0.6562,1
2395,12'h95B,0.1562,1
2396,12'h95C,0.7812,1
2397,12'h95D,0.2812,1
2398,12'h95E,0.5000,1
2399,12'h95F,0.0312,1
2400,12'h960,0.9688,1
2401,12'h961,0.4688,1
2402,12'h962,0.7188,1
2403,12'h963,0.2188,1
2404,12'h964,0.8438,1
2405,12'h965,0.3438,1
2406,12'h966,0.5938,1
2407,12'h967,0.0938,1
2408,12'h968,0.9062,1
2409,12'h969,0.4062,1
2410,12'h96A,0.6875,1
2411,12'h96B,0.1562,1
2412,12'h96C,0.7812,1
2413,12'h96D,0.2812,1
2414,12'h96E,0.5312,1
2415,12'h96F,0.0312,1
2416,12'h970,0.9375,1
2417,12'h971,0.4375,1
2418,12'h972,0.6875,1
2419,12'h973,0.1875,1
2420,12'h974,0.8125,1
2421,12'h975,0.3125,1
2422,12'h976,0.5625,1
2423,12'h977,0.0625,1
2424,12'h978,0.9062,1
2425,12'h979,0.4062,1
2426,12'h97A,0.6250,1
2427,12'h97B,0.1250,1
2428,12'h97C,0.7500,1
2429,12'h97D,0.2500,1
2430,12'h97E,0.5000,1
2431,12'h97F,0.0000,0
2432,12'h980,1.0000,1
2433,12'h981,0.5000,1
2434,12'h982,0.7500,1
2435,12'h983,0.2500,1
2436,12'h984,0.8438,1
2437,12'h985,0.3750,1
2438,12'h986,0.6250,1
2439,12'h987,0.1250,1
2440,12'h988,0.9375,1
2441,12'h989,0.4062,1
2442,12'h98A,0.6875,1
2443,12'h98B,0.1875,1
2444,12'h98C,0.8125,1
2445,12'h98D,0.3125,1
2446,12'h98E,0.5625,1
2447,12'h98F,0.0625,1
2448,12'h990,0.9688,1
2449,12'h991,0.4688,1
2450,12'h992,0.7188,1
2451,12'h993,0.2188,1
2452,12'h994,0.8438,1
2453,12'h995,0.3438,1
2454,12'h996,0.5625,1
2455,12'h997,0.0938,1
2456,12'h998,0.9062,1
2457,12'h999,0.4062,1
2458,12'h99A,0.6562,1
2459,12'h99B,0.1562,1
2460,12'h99C,0.7812,1
2461,12'h99D,0.2812,1
2462,12'h99E,0.5312,1
2463,12'h99F,0.0312,1
2464,12'h9A0,1.0000,1
2465,12'h9A1,0.4688,1
2466,12'h9A2,0.7500,1
2467,12'h9A3,0.2188,1
2468,12'h9A4,0.8438,1
2469,12'h9A5,0.3438,1
2470,12'h9A6,0.5938,1
2471,12'h9A7,0.0938,1
2472,12'h9A8,0.9062,1
2473,12'h9A9,0.4062,1
2474,12'h9AA,0.6875,1
2475,12'h9AB,0.1875,1
